Artista,Prodotto,Reported Royalty,Percentuale Royalties,Importo Artista
Pseudospettri,Pseudotape vol. 1,0.488,30.00%,0.1464
Lanyard,Stanco,0.0015692712,15.00%,0.00023539067999999997
I miei migliori complimenti,Le cose cambieranno,0.000389328712,8.00%,3.114629696e-05
I miei migliori complimenti,Inter - Cagliari,6.8749024e-05,8.00%,5.49992192e-06
Rokas,Fantasmi,0.002389028584,0.00%,0.0
Rokas,Fantasmi,0.011547594216,0.00%,0.0
Rokas,Sabbie mobili,0.000389328712,0.00%,0.0
Rokas and Disme featuring Granato,Sveglio,0.000778657424,0.00%,0.0
Rokas,Mostri contro fantasmi,6.8749024e-05,0.00%,0.0
Rokas,Mostri contro fantasmi,0.000389328712,0.00%,0.0
Rokas,Mostri contro fantasmi,0.000389328712,0.00%,0.0
Rokas,Mostri contro fantasmi,0.000326557864,0.00%,0.0
Rokas,Mostri contro fantasmi,0.000389328712,0.00%,0.0
Rokas featuring EDONiCO,Giorni stupidi,0.000674039344,0.00%,0.0
"testacoda, Simone Panetti, Skar & Manfree",pop pop,0.000398295976,0.00%,0.0
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0048608,8.00%,0.00038886400000000005
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0083216,8.00%,0.000665728
Ziliani,Bar Franca,0.0048608,0.00%,0.0
I miei migliori complimenti,Proverbio Giapponese,0.0040288,8.00%,0.000322304
I miei migliori complimenti,I just wasted another summer,0.0022392,8.00%,0.000179136
I miei migliori complimenti,I just wasted another summer,0.0083216,8.00%,0.000665728
Kuzu and Tanca,Tela Bianca,0.0040288,0.00%,0.0
Kuzu and Tanca,Tela Bianca,0.0214936,0.00%,0.0
Refo,BLUE,0.0166424,4.00%,0.0006656960000000001
I miei migliori complimenti,I just wasted another summer,0.0065744,8.00%,0.000525952
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.012902212,8.00%,0.00103217696
testacoda,spari,0.00153544,0.00%,0.0
Pseudospettri,Pseudotape vol. 1,0.012902212,30.00%,0.0038706635999999997
Pseudospettri,Pseudotape vol. 1,0.0147366112,30.00%,0.004420983359999999
I miei migliori complimenti,Sabato,0.059656,8.00%,0.00477248
I miei migliori complimenti,Sabato,0.0079352,8.00%,0.000634816
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0064,8.00%,0.0005120000000000001
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0079352,8.00%,0.000634816
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.029828,8.00%,0.00238624
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00256,8.00%,0.00020480000000000002
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0091384,8.00%,0.000731072
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00256,8.00%,0.00020480000000000002
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0202032,8.00%,0.0016162560000000002
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0079352,8.00%,0.000634816
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0397704,8.00%,0.0031816319999999998
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0128,8.00%,0.0010240000000000002
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0158704,8.00%,0.001269632
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0497128,8.00%,0.003977024
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0397704,8.00%,0.0031816319999999998
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.029828,8.00%,0.00238624
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.1093688,8.00%,0.008749504
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00128,8.00%,0.00010240000000000001
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.01024,8.00%,0.0008192000000000001
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00384,8.00%,0.00030720000000000004
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0158704,8.00%,0.001269632
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0397704,8.00%,0.0031816319999999998
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0795408,8.00%,0.0063632639999999996
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0079352,8.00%,0.000634816
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.90478,8.00%,0.0723824
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0158704,8.00%,0.001269632
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.01792,8.00%,0.0014336
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.1904424,8.00%,0.015235392000000002
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00128,8.00%,0.00010240000000000001
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.00256,8.00%,0.00020480000000000002
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.09088,8.00%,0.007270400000000001
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0033672,8.00%,0.000269376
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0101016,8.00%,0.0008081280000000001
I miei migliori complimenti,Le disavventure amorose di Walter e Carolina,0.0198856,8.00%,0.001590848
Rokas,Nemico del cuore,0.0099424,0.00%,0.0
Rokas,Nemico del cuore,0.0099424,0.00%,0.0
Rokas,Nemico del cuore,0.0099424,0.00%,0.0
Rokas,Nemico del cuore,0.00128,0.00%,0.0
Rokas,Nemico del cuore,0.00128,0.00%,0.0
Rokas,Nemico del cuore,0.0099424,0.00%,0.0
Rokas,Nemico del cuore,0.0099424,0.00%,0.0
Rokas,Nemico del cuore,0.00128,0.00%,0.0
Rokas,Nemico del cuore,0.00128,0.00%,0.0
Rokas,Nemico del cuore,0.00128,0.00%,0.0
I miei migliori complimenti,Le cose cambieranno,0.0101016,8.00%,0.0008081280000000001
I miei migliori complimenti,Le cose cambieranno,0.0198856,8.00%,0.001590848
I miei migliori complimenti,Le cose cambieranno,0.029828,8.00%,0.00238624
I miei migliori complimenti,Le cose cambieranno,0.0067344,8.00%,0.000538752
I miei migliori complimenti,Le cose cambieranno,0.0198856,8.00%,0.001590848
I miei migliori complimenti,Le cose cambieranno,0.0067344,8.00%,0.000538752
I miei migliori complimenti,Le cose cambieranno,0.0198856,8.00%,0.001590848
I miei migliori complimenti,Le cose cambieranno,0.0079352,8.00%,0.000634816
I miei migliori complimenti,Le cose cambieranno,0.029828,8.00%,0.00238624
I miei migliori complimenti,Le cose cambieranno,0.03174,8.00%,0.0025391999999999997
Ziliani,Bar Franca,0.0795408,0.00%,0.0
Ziliani,Bar Franca,0.0182768,0.00%,0.0
I miei migliori complimenti,Inter - Cagliari,0.0033672,8.00%,0.000269376
I miei migliori complimenti,Inter - Cagliari,0.00384,8.00%,0.00030720000000000004
I miei migliori complimenti,Inter - Cagliari,0.0795408,8.00%,0.0063632639999999996
I miei migliori complimenti,Inter - Cagliari,0.03174,8.00%,0.0025391999999999997
I miei migliori complimenti,Proverbio Giapponese,0.059656,8.00%,0.00477248
I miei migliori complimenti,Proverbio Giapponese,0.0091384,8.00%,0.000731072
I miei migliori complimenti,Proverbio Giapponese,0.0079352,8.00%,0.000634816
testacoda,guasto,0.00128,0.00%,0.0
I miei migliori complimenti,Le femmine i maschi,0.0158704,8.00%,0.001269632
I miei migliori complimenti,Le femmine i maschi,0.0795408,8.00%,0.0063632639999999996
I miei migliori complimenti,Le femmine i maschi,0.029828,8.00%,0.00238624
I miei migliori complimenti,Le femmine i maschi,0.016836,8.00%,0.00134688
I miei migliori complimenti,Le femmine i maschi,0.0099424,8.00%,0.000795392
I miei migliori complimenti,Le femmine i maschi,0.0079352,8.00%,0.000634816
I miei migliori complimenti,Le femmine i maschi,0.0079352,8.00%,0.000634816
I miei migliori complimenti,Le femmine i maschi,0.0067344,8.00%,0.000538752
I miei migliori complimenti,Le femmine i maschi,0.0198856,8.00%,0.001590848
I miei migliori complimenti,Da Paura,0.0079352,8.00%,0.000634816
I miei migliori complimenti,Da Paura,0.0497128,8.00%,0.003977024
Rokas,Mostri,0.00128,0.00%,0.0
Rokas,Mostri,0.0099424,0.00%,0.0
testacoda,akira,0.00128,0.00%,0.0
testacoda,akira,0.0079352,0.00%,0.0
testacoda,morsi,0.00128,0.00%,0.0
testacoda,cani e chiodi,0.0099424,0.00%,0.0
I miei migliori complimenti,Strato,0.0079352,8.00%,0.000634816
I miei migliori complimenti,Strato,0.0091384,8.00%,0.000731072
I miei migliori complimenti,Strato,0.0497128,8.00%,0.003977024
I miei migliori complimenti,I just wasted another summer,0.0158704,8.00%,0.001269632
I miei migliori complimenti,I just wasted another summer,0.0198856,8.00%,0.001590848
Rokas featuring I miei migliori complimenti,Pesci rossi,0.029828,0.00%,0.0
Rokas featuring I miei migliori complimenti,Pesci rossi,0.00256,0.00%,0.0
Rokas,Mostri contro fantasmi,0.01152,0.00%,0.0
Rokas,Mostri contro fantasmi,0.2221824,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00128,0.00%,0.0
Rokas,Mostri contro fantasmi,0.1590824,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00128,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00128,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0099424,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0198856,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0099424,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00128,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0099424,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00128,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00128,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0134688,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00256,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00128,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00128,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0099424,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00128,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0099424,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00128,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0079352,0.00%,0.0
Rokas,Mostri contro fantasmi,0.00256,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0099424,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0099424,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0099424,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0099424,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0099424,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0099424,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0099424,0.00%,0.0
Rokas,Mostri contro fantasmi,0.0182768,0.00%,0.0
